NbMapper,NbReducer,TempsEcoule(ms),nTest
2,1,6499,1
2,2,6444,1
2,3,6124,1
2,4,6518,1
3,1,5330,1
3,2,5007,1
3,3,4940,1
3,4,5265,1
4,1,5160,1
4,2,4517,1
4,3,4520,1
4,4,5113,1
5,1,4523,1
5,2,4068,1
5,3,4074,1
5,4,4056,1
6,1,4798,1
6,2,3720,1
6,3,3617,1
6,4,3982,1
7,1,4506,1
7,2,3546,1
7,3,3298,1
7,4,3739,1
8,1,4305,1
8,2,3302,1
8,3,3437,1
8,4,3219,1
9,1,4984,1
9,2,3300,1
9,3,3309,1
9,4,3513,1
10,1,3947,1
10,2,3172,1
10,3,2999,1
10,4,3150,1
2,1,6364,2
2,2,6088,2
2,3,6293,2
2,4,6421,2
3,1,5365,2
3,2,4936,2
3,3,5110,2
3,4,5313,2
4,1,5035,2
4,2,4459,2
4,3,4466,2
4,4,4830,2
5,1,4479,2
5,2,4061,2
5,3,3982,2
5,4,4087,2
6,1,4426,2
6,2,3921,2
6,3,3683,2
6,4,3962,2
7,1,4012,2
7,2,3836,2
7,3,3360,2
7,4,3677,2
8,1,4944,2
8,2,3261,2
8,3,3554,2
8,4,3182,2
9,1,3947,2
9,2,3509,2
9,3,3143,2
9,4,3457,2
10,1,4726,2
10,2,3229,2
10,3,3530,2
10,4,4000,2
2,1,6617,3
2,2,6197,3
2,3,6229,3
2,4,6706,3
3,1,5562,3
3,2,4949,3
3,3,5304,3
3,4,5324,3
4,1,4919,3
4,2,4676,3
4,3,4931,3
4,4,4712,3
5,1,4606,3
5,2,4171,3
5,3,4203,3
5,4,4224,3
6,1,4403,3
6,2,3988,3
6,3,3932,3
6,4,4212,3
7,1,4412,3
7,2,3741,3
7,3,4066,3
7,4,3640,3
8,1,4113,3
8,2,3346,3
8,3,3236,3
8,4,3880,3
9,1,5168,3
9,2,3427,3
9,3,3797,3
9,4,3488,3
10,1,5090,3
10,2,3372,3
10,3,3275,3
10,4,3313,3
2,1,6526,4
2,2,6109,4
2,3,6371,4
2,4,6692,4
3,1,5698,4
3,2,5261,4
3,3,5060,4
3,4,5343,4
4,1,4969,4
4,2,4534,4
4,3,4688,4
4,4,4666,4
5,1,5437,4
5,2,4116,4
5,3,4148,4
5,4,4509,4
6,1,4505,4
6,2,3762,4
6,3,3718,4
6,4,3836,4
7,1,4128,4
7,2,3564,4
7,3,3382,4
7,4,3719,4
8,1,3827,4
8,2,3240,4
8,3,3052,4
8,4,3293,4
9,1,3996,4
9,2,3413,4
9,3,3253,4
9,4,3400,4
10,1,3866,4
10,2,3328,4
10,3,3028,4
10,4,3101,4
